service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"23720000001","0","0","0","0","0","0","1","20240407","20240421"
"23720000010","1","0","0","0","0","0","0","20240408","20240415"
"23720000011","0","1","0","0","0","0","0","20240409","20240416"
"23720000012","0","1","0","0","0","0","0","20240409","20240416"
"23720000013","0","1","0","0","0","0","0","20240409","20240416"
"23720000014","0","1","0","0","0","0","0","20240409","20240416"
"23720000015","0","0","1","0","0","0","0","20240410","20240417"
"23720000016","0","0","1","0","0","0","0","20240410","20240417"
"23720000017","0","0","1","0","0","0","0","20240410","20240417"
"23720000018","0","0","1","0","0","0","0","20240410","20240417"
"23720000019","0","0","0","0","0","1","0","20240406","20240420"
"23720000002","0","0","0","0","0","0","1","20240407","20240421"
"23720000020","0","0","0","0","0","1","0","20240406","20240420"
"23720000021","0","0","0","0","0","0","1","20240407","20240407"
"23720000022","0","0","0","0","0","1","0","20240406","20240413"
"23720000023","1","1","1","1","1","0","0","20240408","20240418"
"23720000024","0","0","0","0","0","0","1","20240407","20240421"
"23720000025","0","0","0","0","0","1","0","20240406","20240420"
"23720000026","1","1","1","1","1","0","0","20240408","20240419"
"23720000027","0","0","0","0","1","0","0","20240412","20240412"
"23720000028","0","0","0","0","1","0","0","20240412","20240412"
"23720000029","0","0","0","0","1","0","0","20240419","20240419"
"23720000003","0","0","0","1","0","0","0","20240411","20240418"
"23720000030","0","0","0","0","1","0","0","20240419","20240419"
"23720000031","0","0","0","0","1","0","0","20240412","20240419"
"23720000032","0","0","0","0","1","0","0","20240412","20240419"
"23720000033","0","0","0","0","0","0","1","20240407","20240421"
"23720000034","0","0","0","0","0","0","1","20240414","20240414"
"23720000035","0","0","0","0","0","1","0","20240406","20240420"
"23720000036","0","0","0","0","0","0","1","20240414","20240414"
"23720000037","0","0","0","0","0","0","1","20240421","20240421"
"23720000038","0","0","0","0","0","0","1","20240421","20240421"
"23720000039","0","0","0","0","0","1","0","20240420","20240420"
"23720000004","0","0","0","1","0","0","0","20240411","20240418"
"23720000040","0","0","0","0","0","1","0","20240420","20240420"
"23720000041","0","0","0","0","1","0","0","20240419","20240419"
"23720000042","0","0","0","0","1","0","0","20240419","20240419"
"23720000043","1","0","0","0","0","0","0","20240415","20240415"
"23720000044","0","1","0","0","0","0","0","20240409","20240416"
"23720000045","0","0","0","1","0","0","0","20240411","20240418"
"23720000046","0","0","0","0","1","0","0","20240412","20240419"
"23720000047","0","0","1","0","0","0","0","20240410","20240417"
"23720000048","0","0","0","0","0","0","1","20240407","20240421"
"23720000049","1","1","0","1","1","0","0","20240408","20240419"
"23720000005","0","0","0","1","0","0","0","20240411","20240418"
"23720000050","0","0","0","0","1","0","0","20240408","20240419"
"23720000051","0","0","1","0","0","0","0","20240410","20240417"
"23720000052","0","0","1","0","0","0","0","20240410","20240417"
"23720000053","0","0","0","0","0","1","0","20240406","20240420"
"23720000054","0","0","0","0","0","1","0","20240413","20240413"
"23720000055","0","0","0","0","0","1","0","20240413","20240413"
"23720000056","0","0","0","1","0","0","0","20240411","20240418"
"23720000057","0","0","0","1","0","0","0","20240411","20240418"
"23720000058","1","0","0","0","0","0","0","20240408","20240415"
"23720000059","1","0","0","0","0","0","0","20240408","20240415"
"23720000006","0","0","0","1","0","0","0","20240411","20240418"
"23720000060","0","1","0","0","0","0","0","20240409","20240416"
"23720000061","0","1","0","0","0","0","0","20240409","20240416"
"23720000062","0","0","1","0","0","0","0","20240410","20240417"
"23720000063","0","0","1","0","0","0","0","20240410","20240417"
"23720000064","0","0","0","0","1","0","0","20240412","20240419"
"23720000065","0","0","0","0","1","0","0","20240412","20240419"
"23720000007","1","0","0","0","0","0","0","20240408","20240415"
"23720000008","1","0","0","0","0","0","0","20240408","20240415"
"23720000009","1","0","0","0","0","0","0","20240408","20240415"
